The day before Curl Trenary,modern
Swore out a warrant through Justice Arnett,modern
For stealing hogs.,modern
But that's not the reason he turned a soldier.,modern
He caught me running with Lucius Atherton.,modern
We quarreled and I told him never again,modern
To cross my path.,modern
Then he stole the hogs and went to the war,modern
Back of every soldier is a woman.He protested all his life long,modern
The newspapers lied about him villainously;,modern
"That he was not at fault for Minerva's fall,",modern
But only tried to help her.,modern
Poor soul so sunk in sin he could not see,modern
"That even trying to help her, as he called it,",modern
He had broken the law human and divine.,modern
"Passers by, an ancient admonition to you:",modern
"If your ways would be ways of pleasantness,",modern
"And all your pathways peace,",modern
Love God and keep his commandments.,modern
"And lights were paling out of the West,",modern
"You would come hither, and bend your head,",modern
And I would lay my head on your breast;,modern
"And you would murmur tender words,",modern
"Forgiving me, because you were dead:",modern
"Nor would you rise and hasten away,",modern
"Though you have the will of wild birds,",modern
But know your hair was bound and wound,modern
About the stars and moon and sun:,modern
"O would, beloved, that you lay",modern
"Under the dock-leaves in the ground,",modern
"While lights were paling one by one.Never give all the heart, for love",modern
Will hardly seem worth thinking of,modern
To passionate women if it seem,modern
"Certain, and they never dream",modern
That it fades out from kiss to kiss;,modern
For everything thats lovely is,modern
"But a brief, dreamy, kind delight.",modern
"O never give the heart outright,",modern
"For they, for all smooth lips can say,",modern
Have given their hearts up to the play.,modern
And who could play it well enough,modern
If deaf and dumb and blind with love?,modern
"He that made this knows all the cost,",modern
For he gave all his heart and lost.Why should I blame her that she filled my days,modern
"With misery, or that she would of late",modern
"Have taught to ignorant men most violent ways,",modern
"Or hurled the little streets upon the great,",modern
Had they but courage equal to desire?,modern
What could have made her peaceful with a mind,modern
"That nobleness made simple as a fire,",modern
"With beauty like a tightened bow, a kind",modern
"That is not natural in an age like this,",modern
Being high and solitary and most stern?,modern
"Why, what could she have done, being what she is?",modern
Was there another Troy for her to burn?Some may have blamed you that you took away,modern
The verses that could move them on the day,modern
"When, the ears being deafened, the sight of the eyes blind",modern
"With lightning, you went from me, and I could find",modern
"Nothing to make a song about but kings,",modern
"Helmets, and swords, and half-forgotten things",modern
That were like memories of youbut now,modern
"We'll out, for the world lives as long ago;",modern
"And while we're in our laughing, weeping fit,",modern
"Hurl helmets, crowns, and swords into the pit.",modern
"But, dear, cling close to me; since you were gone,",modern
"My barren thoughts have chilled me to the bone. Shy one, shy one,",modern
"Shy one of my heart,",modern
She moves in the firelight,modern
Pensively apart.,modern
"She carries in the dishes,",modern
And lays them in a row.,modern
To an isle in the water,modern
With her would I go.,modern
"She carries in the candles,",modern
"And lights the curtained room,",modern
Shy in the doorway,modern
And shy in the gloom;,modern
"And shy as a rabbit,",modern
Helpful and shy.,modern
To an isle in the water,modern
"With her would I fly.I feel the spring far off, far off,",modern
"The faint, far scent of bud and leaf",modern
"Oh, how can spring take heart to come",modern
"To a world in grief,",modern
Deep grief?,modern
"The sun turns north, the days grow long,",modern
Later the evening star grows bright,modern
How can the daylight linger on,modern
"For men to fight,",modern
Still fight?,modern
"The grass is waking in the ground,",modern
