The day before Curl Trenary,neg
Swore out a warrant through Justice Arnett,neg
For stealing hogs.,neg
But that's not the reason he turned a soldier.,neg
He caught me running with Lucius Atherton.,neg
We quarreled and I told him never again,neg
To cross my path.,neg
Then he stole the hogs and went to the war,neg
Back of every soldier is a woman.He protested all his life long,neg
The newspapers lied about him villainously;,neg
"That he was not at fault for Minerva's fall,",neg
But only tried to help her.,neg
Poor soul so sunk in sin he could not see,neg
"That even trying to help her, as he called it,",neg
He had broken the law human and divine.,neg
"Passers by, an ancient admonition to you:",neg
"If your ways would be ways of pleasantness,",neg
"And all your pathways peace,",neg
Love God and keep his commandments.,neg
"And lights were paling out of the West,",neg
"You would come hither, and bend your head,",neg
And I would lay my head on your breast;,neg
"And you would murmur tender words,",neg
"Forgiving me, because you were dead:",neg
"Nor would you rise and hasten away,",neg
"Though you have the will of wild birds,",neg
But know your hair was bound and wound,neg
About the stars and moon and sun:,neg
"O would, beloved, that you lay",neg
"Under the dock-leaves in the ground,",neg
"While lights were paling one by one.Never give all the heart, for love",neg
Will hardly seem worth thinking of,neg
To passionate women if it seem,neg
"Certain, and they never dream",neg
That it fades out from kiss to kiss;,neg
For everything thats lovely is,neg
"But a brief, dreamy, kind delight.",neg
"O never give the heart outright,",neg
"For they, for all smooth lips can say,",neg
Have given their hearts up to the play.,neg
And who could play it well enough,neg
If deaf and dumb and blind with love?,neg
"He that made this knows all the cost,",neg
For he gave all his heart and lost.Why should I blame her that she filled my days,neg
"With misery, or that she would of late",neg
"Have taught to ignorant men most violent ways,",neg
"Or hurled the little streets upon the great,",neg
Had they but courage equal to desire?,neg
What could have made her peaceful with a mind,neg
"That nobleness made simple as a fire,",neg
"With beauty like a tightened bow, a kind",neg
"That is not natural in an age like this,",neg
Being high and solitary and most stern?,neg
"Why, what could she have done, being what she is?",neg
Was there another Troy for her to burn?Some may have blamed you that you took away,neg
The verses that could move them on the day,neg
"When, the ears being deafened, the sight of the eyes blind",neg
"With lightning, you went from me, and I could find",neg
"Nothing to make a song about but kings,",neg
"Helmets, and swords, and half-forgotten things",neg
That were like memories of youbut now,neg
"We'll out, for the world lives as long ago;",neg
"And while we're in our laughing, weeping fit,",neg
"Hurl helmets, crowns, and swords into the pit.",neg
"But, dear, cling close to me; since you were gone,",neg
"My barren thoughts have chilled me to the bone. Shy one, shy one,",neg
"Shy one of my heart,",neg
She moves in the firelight,neg
Pensively apart.,neg
"She carries in the dishes,",neg
And lays them in a row.,neg
To an isle in the water,neg
With her would I go.,neg
"She carries in the candles,",neg
"And lights the curtained room,",neg
Shy in the doorway,neg
And shy in the gloom;,neg
"And shy as a rabbit,",neg
Helpful and shy.,neg
To an isle in the water,neg
"With her would I fly.I feel the spring far off, far off,",neg
"The faint, far scent of bud and leaf",neg
"Oh, how can spring take heart to come",neg
"To a world in grief,",neg
Deep grief?,neg
"The sun turns north, the days grow long,",neg
Later the evening star grows bright,neg
How can the daylight linger on,neg
"For men to fight,",neg
Still fight?,neg
"The grass is waking in the ground,",neg
Soon it will rise and blow in waves,neg
How can it have the heart to sway,neg
"Over the graves,",neg
New graves?,neg
Under the boughs where lovers walked,neg
The apple-blooms will shed their breath,neg
But what of all the lovers now,neg
"Parted by Death,",neg
"Grey Death?Lying in dug-outs, joking idly, wearily;",neg
Watching the candle guttering in the draught;,neg
"Hearing the great shells go high over us, eerily",neg
"Singing; how often have I turned over, and laughed",neg
"With pity and pride, photographs of all colours,",neg
"All sizes, subjects: khaki brothers in France;",neg
Or mother's faces worn with countless dolours;,neg
"Or girls whose eyes were challenging and must dance,",neg
"Though in a picture only, a common cheap",neg
"Ill-taken card; and childrenfrozen, some",neg
waiting on Dicky-bird to peep,neg
Out of the handkerchief that is his home,neg
"But he's so shy! And some with bright looks, calling",neg
"Delight across the miles of land and sea,",neg
That not the dread of barrage suddenly falling,neg
Could quite blot outnot mud nor lethargy.,neg
Smiles and triumphant careless laughter. O,neg
"The pain of them, wide Earth's most sacred things! ",neg
"Lying in dug-outs, hearing the great shells slow",neg
"Sailing mile-high, the heart mounts higher and sings.",neg
But onceO why did he keep that bitter token,neg
"Of a dead Love?that boy, who, suddenly moved,",neg
"Showed me, his eyes wet, his low talk broken,",neg
"A girl who better had not been beloved.I went out to the hazel wood,",neg
"Because a fire was in my head,",neg
"And cut and peeled a hazel wand,",neg
And hooked a berry to a thread;,neg
"And when white moths were on the wing,",neg
"And moth-like stars were flickering out,",neg
I dropped the berry in a stream,neg
And caught a little silver trout.,neg
When I had laid it on the floor,neg
"I went to blow the fire a-flame,",neg
"But something rustled on the floor,",neg
And someone called me by my name:,neg
It had become a glimmering girl,neg
With apple blossom in her hair,neg
Who called me by my name and ran,neg
And faded through the brightening air.,neg
Though I am old with wandering,neg
"Through hollow lands and hilly lands,",neg
"I will find out where she has gone,",neg
And kiss her lips and take her hands;,neg
"And walk among long dappled grass,",neg
"And pluck till time and times are done,",neg
"The silver apples of the moon,",neg
The golden apples of the sun.Now that I know,neg
That passion warms little,neg
"Of flesh in the mold,",neg
"And treasure is brittle,",neg
Ill lie here and learn,neg
"How, over their ground,",neg
Trees make a long shadow,neg
And a light sound.,neg
"The stars are hiding now,",neg
"And frowning on the world, love,",neg
Night bares her sable brow.,neg
"The snow is on the ground, love,",neg
And cold and keen the air is.,neg
"Im singing here to you, love;",neg
Youre dreaming there in Paris.,neg
"But this is Natures law, love,",neg
"Though just it may not seem,",neg
"That men should wake to sing, love;",neg
While maidens sleep and dream.,neg
"Them care may not molest, love,",neg
"Nor stir them from their slumbers,",neg
"Though midnight find the swain, love.",neg
Still halting oer his numbers.,neg
"I watch the rosy dawn, love,",neg
"Come stealing up the east,",neg
"While all things round rejoice, love,",neg
That Night her reign has ceased.,neg
"The lark will soon be heard, love,",neg
And on his way be winging;,neg
"When Natures poets, wake, love,",neg
"Why should a man be singing?Thou art my lute, by thee I sing,",neg
My being is attuned to thee.,neg
"Thou settest all my words a-wing,",neg
And meltest me to melody.,neg
"Thou art my life, by thee I live,",neg
From thee proceed the joys I know;,neg
"Sweetheart, thy hand has power to give",neg
The meed of lovethe cup of woe.,neg
